Title,Year,Rating,Genre,Director,Language,Country,Type
The Normal Heart,2014,TV-MA,Drama,Ryan Murphy,English,USA,movie
Axe Giant: The Wrath of Paul Bunyan,2013,R,"Fantasy, Horror",Gary Jones,English,USA,movie
Trunk'd,2014,Not Rated,Comedy,Jake Hull,English,USA,movie
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,"Comedy, Family",Miguel Arteta,English,USA,movie
American Idiots,2013,R,"Comedy, Romance",Robert Taleghany,English,USA,movie
Peeples,2013,PG-13,"Comedy, Romance",Tina Gordon Chism,English,USA,movie
From the Rough,2013,PG,"Drama, Sport",Pierre Bagley,English,USA,movie
Every Secret Thing,2014,R,"Crime, Drama",Amy Berg,English,USA,movie
Seasons of Gray,2013,PG-13,Drama,Paul Stehlik Jr.,English,USA,movie
The Spectacular Now,2013,R,"Comedy, Drama, Romance",James Ponsoldt,English,USA,movie
The Last Keepers,2013,PG-13,Family,Maggie Greenwald,English,USA,movie
Snake and Mongoose,2013,PG-13,Sport,Wayne Holloway,English,USA,movie
CinemAbility,2013,PG-13,Documentary,Jenni Gold,English,USA,movie
Innocence,2013,PG-13,"Adventure, Fantasy, Horror",Hilary Brougher,English,USA,movie
Ender's Game,2013,PG-13,"Action, Sci-Fi",Gavin Hood,English,USA,movie
Born Wild,2013,R,Drama,Dustin Rikert,English,USA,movie
Pizza Shop: The Movie,2013,Unrated,Comedy,George O'Barts,English,USA,movie
Pawn Shop Chronicles,2013,R,"Action, Comedy, Crime",Wayne Kramer,English,USA,movie
Jersey Boys,2014,R,"Biography, Drama, Music",Clint Eastwood,English,USA,movie
Sabotage,2014,R,"Action, Crime, Drama",David Ayer,English,USA,movie
Girl Meets Boy,2013,R,Comedy,Damion Stephens,English,USA,movie
Silver Circle,2013,PG-13,"Animation, Thriller",Pasha Roberts,English,USA,movie
InAPPropriate Comedy,2013,R,Comedy,Vince Offer,English,USA,movie
Paranormal Whacktivity,2013,R,"Comedy, Horror",Roger Roth,English,USA,movie
Persecuted,2014,PG-13,"Action, Drama, Mystery",Daniel Lusko,English,USA,movie
Shadow People,2013,PG-13,Thriller,Matthew Arnold,English,USA,movie
Over/Under,2013,TV-14,Drama,Bronwen Hughes,English,USA,movie
Stonehearst Asylum,2014,PG-13,Thriller,Brad Anderson,English,USA,movie
50 to 1,2014,PG-13,Drama,Jim Wilson,English,USA,movie
The Ultimate Life,2013,PG,"Drama, Romance",Michael Landon Jr.,English,USA,movie
The Grim Sleeper,2014,TV-14,"Biography, Drama, Thriller",Stanley M. Brooks,English,USA,movie
The Punk Singer,2013,Not Rated,Documentary,Sini Anderson,English,USA,movie
The Resurrection of Victor Jara,2014,PG-13,Documentary,John Travers,English,USA,movie
CBGB,2013,R,"Drama, Music",Randall Miller,English,USA,movie
Murph: The Protector,2013,PG,Documentary,Scott Mactavish,English,USA,movie
Savannah,2013,PG-13,"Drama, Family, History",Annette Haywood-Carter,English,USA,movie
Rudderless,2014,R,"Comedy, Drama, Music",William H. Macy,English,USA,movie
This Is Martin Bonner,2013,R,Drama,Chad Hartigan,English,USA,movie
Her,2013,R,"Drama, Romance, Sci-Fi",Spike Jonze,English,USA,movie
That Awkward Moment,2014,R,"Comedy, Romance",Tom Gormican,English,USA,movie
Sexy Evil Genius,2013,R,"Comedy, Drama, Mystery",Shawn Piller,English,USA,movie
As I Lay Dying,2013,R,Drama,James Franco,English,USA,movie
Burning Blue,2013,R,"Biography, Drama, Romance",D.M.W. Greer,English,USA,movie
Admission,2013,PG-13,"Comedy, Drama, Romance",Paul Weitz,English,USA,movie
After Earth,2013,PG-13,"Action, Adventure, Sci-Fi",M. Night Shyamalan,English,USA,movie
A Case of You,2013,R,"Comedy, Romance",Kat Coiro,English,USA,movie
Miss Dial,2013,R,Comedy,David H. Steinberg,English,USA,movie
Family Weekend,2013,R,"Comedy, Drama",Benjamin Epps,English,USA,movie
Annie,2014,PG,"Comedy, Drama, Family",Will Gluck,English,USA,movie
We Steal Secrets: The Story of WikiLeaks,2013,R,Documentary,Alex Gibney,English,USA,movie
About Last Night,2014,R,"Comedy, Romance",Steve Pink,English,USA,movie
Big Ass Spider!,2013,PG-13,"Comedy, Sci-Fi",Mike Mendez,English,USA,movie
White T,2013,R,Comedy,Lance Frank,English,USA,movie
Angels Sing,2013,PG,"Comedy, Drama, Family",Tim McCanlies,English,USA,movie
Winter's Tale,2014,PG-13,"Drama, Fantasy, Mystery",Akiva Goldsman,English,USA,movie
The Truth About Emanuel,2013,Not Rated,"Drama, Thriller",Francesca Gregorini,English,USA,movie
Our Wild Hearts,2013,PG,"Family, Western",Ricky Schroder,English,USA,movie
The Face of Love,2013,PG-13,"Drama, Romance",Arie Posin,English,USA,movie
Divergent,2014,PG-13,"Action, Adventure, Sci-Fi",Neil Burger,English,USA,movie
The Loft,2014,R,Thriller,Erik Van Looy,English,USA,movie
Percy Jackson: Sea of Monsters,2013,PG,"Adventure, Family, Fantasy",Thor Freudenthal,English,USA,movie
Percy Jackson: Sea of Monsters,2013,PG,"Adventure, Family, Fantasy",Thor Freudenthal,English,USA,movie
Turbo,2013,PG,"Animation, Adventure, Comedy",David Soren,English,USA,movie
Dark Circles,2013,R,Horror,Paul Soter,English,USA,movie
Low Down,2014,R,"Biography, Drama, Music",Jeff Preiss,English,USA,movie
Liars All,2013,R,Thriller,Brian Brightly,English,USA,movie
Hatchet III,2013,R,"Comedy, Horror, Thriller",BJ McDonnell,English,USA,movie
The Amazing Spider-Man 2,2014,PG-13,"Action, Adventure, Fantasy",Marc Webb,English,USA,movie
The Judge,2014,R,Drama,David Dobkin,English,USA,movie
Night Claws,2013,Not Rated,Horror,David A. Prior,English,USA,movie
Darkroom,2013,R,Thriller,Britt Napier,English,USA,movie
Rapture-Palooza,2013,R,"Comedy, Fantasy",Paul Middleditch,English,USA,movie
A Sierra Nevada Gunfight,2013,R,Western,Vernon E. Mortensen,English,USA,movie
Lucky Them,2013,R,Drama,Megan Griffiths,English,USA,movie
Scatter My Ashes at Bergdorf's,2013,PG-13,Documentary,Matthew Miele,English,USA,movie
